text,intent
pay my rent,PAYMENT_HELP
pay rent through app,PAYMENT_HELP
pay boarding rent,PAYMENT_HELP
pay room rent,PAYMENT_HELP
pay monthly boarding payment,PAYMENT_HELP
pay this month rent,PAYMENT_HELP
pay current boarding bill,PAYMENT_HELP
pay my boarding fee now,PAYMENT_HELP
pay rent immediately,PAYMENT_HELP
pay rent today,PAYMENT_HELP
pay rent using the app,PAYMENT_HELP
pay my boarding bill,PAYMENT_HELP
pay hostel rent,PAYMENT_HELP
pay rent for this boarding,PAYMENT_HELP
pay room fee,PAYMENT_HELP
pay my boarding charges,PAYMENT_HELP
pay accommodation fee,PAYMENT_HELP
pay rent online,PAYMENT_HELP
pay fee through system,PAYMENT_HELP
pay student boarding rent,PAYMENT_HELP
how can i pay rent,PAYMENT_HELP
how to pay my boarding rent,PAYMENT_HELP
how do i pay rent in the app,PAYMENT_HELP
how do i make a payment,PAYMENT_HELP
how can i settle my boarding fee,PAYMENT_HELP
how can i pay utilities,PAYMENT_HELP
how can i pay water bill,PAYMENT_HELP
how can i pay electricity bill,PAYMENT_HELP
how do i complete payment,PAYMENT_HELP
how do i finish payment,PAYMENT_HELP
how to pay using card,PAYMENT_HELP
how to pay with bank transfer,PAYMENT_HELP
how to make rent payment online,PAYMENT_HELP
how to pay monthly rent,PAYMENT_HELP
how to pay through mobile,PAYMENT_HELP
where do i pay rent,PAYMENT_HELP
where can i pay my boarding fee,PAYMENT_HELP
where is the payment section,PAYMENT_HELP
where is rent payment page,PAYMENT_HELP
where is the pay button,PAYMENT_HELP
where can i complete my payment,PAYMENT_HELP
where do i find payment option,PAYMENT_HELP
where can i settle rent,PAYMENT_HELP
where is bill payment,PAYMENT_HELP
where is the rent payment option,PAYMENT_HELP
payment button not showing,PAYMENT_HELP
payment option missing,PAYMENT_HELP
payment page not loading,PAYMENT_HELP
payment page not visible,PAYMENT_HELP
i cannot find payment section,PAYMENT_HELP
i cannot see payment button,PAYMENT_HELP
rent payment option missing,PAYMENT_HELP
boarding payment option missing,PAYMENT_HELP
why is payment option not visible,PAYMENT_HELP
payment page broken,PAYMENT_HELP
payment system not working,PAYMENT_HELP
how do i retry payment,PAYMENT_HELP
retry rent payment,PAYMENT_HELP
retry failed payment,PAYMENT_HELP
payment failed how to retry,PAYMENT_HELP
my payment failed,PAYMENT_HELP
payment error occurred,PAYMENT_HELP
payment declined,PAYMENT_HELP
cannot complete payment,PAYMENT_HELP
payment unsuccessful,PAYMENT_HELP
payment did not go through,PAYMENT_HELP
pay electricity bill,PAYMENT_HELP
pay water bill,PAYMENT_HELP
pay utility charges,PAYMENT_HELP
pay electricity and water charges,PAYMENT_HELP
pay monthly utilities,PAYMENT_HELP
pay boarding utilities,PAYMENT_HELP
pay shared utilities,PAYMENT_HELP
pay additional charges,PAYMENT_HELP
pay maintenance charges,PAYMENT_HELP
pay utility bill online,PAYMENT_HELP
can i pay rent using card,PAYMENT_HELP
can i pay using debit card,PAYMENT_HELP
can i pay through bank transfer,PAYMENT_HELP
can i pay using mobile banking,PAYMENT_HELP
can i pay through online payment,PAYMENT_HELP
can i pay with visa card,PAYMENT_HELP
can i pay rent digitally,PAYMENT_HELP
can i pay using the app,PAYMENT_HELP
can i split rent payment,PAYMENT_HELP
can i pay rent in installments,PAYMENT_HELP
i want to pay rent,PAYMENT_HELP
i want to make payment,PAYMENT_HELP
i want to pay boarding fee,PAYMENT_HELP
i want to pay utilities,PAYMENT_HELP
i need to pay rent,PAYMENT_HELP
i need to settle boarding fee,PAYMENT_HELP
i need to complete payment,PAYMENT_HELP
i want to clear my dues,PAYMENT_HELP
i want to pay my bill,PAYMENT_HELP
i need to pay electricity,PAYMENT_HELP
steps to pay rent,PAYMENT_HELP
steps to pay boarding fee,PAYMENT_HELP
steps to complete payment,PAYMENT_HELP
steps to settle rent,PAYMENT_HELP
show payment instructions,PAYMENT_HELP
guide me to pay rent,PAYMENT_HELP
tell me how to pay,PAYMENT_HELP
explain rent payment process,PAYMENT_HELP
payment instructions please,PAYMENT_HELP
show payment process,PAYMENT_HELP
pay outstanding rent,PAYMENT_HELP
pay pending payment,PAYMENT_HELP
clear unpaid rent,PAYMENT_HELP
clear due payment,PAYMENT_HELP
clear pending boarding bill,PAYMENT_HELP
clear utility dues,PAYMENT_HELP
pay overdue rent,PAYMENT_HELP
pay remaining balance,PAYMENT_HELP
finish my payment,PAYMENT_HELP
complete rent payment,PAYMENT_HELP
how can i pay my boarding rent,PAYMENT_HELP
how do i pay my room rent,PAYMENT_HELP
how to pay my hostel bill,PAYMENT_HELP
how to pay boarding charges,PAYMENT_HELP
how to pay the monthly bill,PAYMENT_HELP
how to complete my boarding payment,PAYMENT_HELP
how can i clear my rent dues,PAYMENT_HELP
how can i finish my rent payment,PAYMENT_HELP
how to settle my boarding bill,PAYMENT_HELP
how can i pay the boarding fee,PAYMENT_HELP
show me how to pay rent,PAYMENT_HELP
show me how to complete payment,PAYMENT_HELP
show payment options,PAYMENT_HELP
show rent payment page,PAYMENT_HELP
show me the payment section,PAYMENT_HELP
open payment page,PAYMENT_HELP
open rent payment,PAYMENT_HELP
open bill payment,PAYMENT_HELP
go to payment section,PAYMENT_HELP
take me to payment page,PAYMENT_HELP
where can i pay my rent online,PAYMENT_HELP
where do i settle my boarding bill,PAYMENT_HELP
where do i pay electricity bill,PAYMENT_HELP
where do i pay water bill,PAYMENT_HELP
where do i pay utility charges,PAYMENT_HELP
where is the boarding payment page,PAYMENT_HELP
where can i pay through the app,PAYMENT_HELP
where can i clear my dues,PAYMENT_HELP
where is bill payment option,PAYMENT_HELP
where is pay rent button,PAYMENT_HELP
pay rent using debit card,PAYMENT_HELP
pay rent using credit card,PAYMENT_HELP
pay rent with bank card,PAYMENT_HELP
pay rent using mobile banking,PAYMENT_HELP
pay rent through online banking,PAYMENT_HELP
pay rent with payment gateway,PAYMENT_HELP
pay rent digitally,PAYMENT_HELP
